trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
171,html-slider-response,100.0,10,q,,Default,XshoveDessertcrumble,XshoveCreamsplash,True,35.0,3.0,0.0,100.0,0.0,35.0,100.0,0.0
172,instructions,,10,s,Dessertcrumble,,,,,,95.0,95.0,50.0,50.0,,,
173,html-slider-response,99.0,10,q,,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,True,90.0,4.0,2.0,66.66666666666666,33.33333333333333,90.0,66.66666666666666,33.33333333333333
174,instructions,,10,s,Baristaorders,,,,,,96.0,96.0,50.0,50.0,,,
175,html-slider-response,0.0,10,q,,Permute,BaristaordersLovejuice,BaristaordersLovejuice,False,100.0,5.0,5.0,50.0,50.0,0.0,50.0,50.0
176,instructions,,10,s,Lovejuice,,,,,,97.0,97.0,50.0,50.0,,,
177,instructions,,10,s,END,,,,,,98.0,98.0,50.0,50.0,,,
178,instructions,,11,s,BEGIN,,,,,,99.0,99.0,50.0,50.0,,,
179,html-slider-response,0.0,11,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,6.0,5.0,54.54545454545454,45.45454545454545,60.0,54.54545454545454,45.45454545454545
180,instructions,,11,s,Walktoback,,,,,,100.0,100.0,50.0,50.0,,,
181,html-slider-response,100.0,11,q,,Default,WalktobackStepinfront,WalktobackSayexcuseme,False,40.0,5.0,1.0,83.33333333333334,16.666666666666664,60.0,16.666666666666657,83.33333333333334
182,instructions,,11,s,Stepinfront,,,,,,101.0,101.0,50.0,50.0,,,
183,html-slider-response,0.0,11,q,,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,False,100.0,4.0,4.0,50.0,50.0,0.0,50.0,50.0
184,instructions,,11,s,Subjectstares,,,,,,102.0,102.0,50.0,50.0,,,
185,html-slider-response,100.0,11,q,,Permute,SubjectstaresXstare,SubjectstaresXstare,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
186,instructions,,11,s,Xstare,,,,,,103.0,103.0,50.0,50.0,,,
187,html-slider-response,100.0,11,q,,Permute,XstareCreamsplash,XstareCreamsplash,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
188,instructions,,11,s,Creamsplash,,,,,,104.0,104.0,50.0,50.0,,,
189,html-slider-response,100.0,11,q,,Alter,CreamsplashCallpoliceman,CreamsplashCallpoliceman,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
190,instructions,,11,s,Callpoliceman,,,,,,105.0,105.0,50.0,50.0,,,
191,html-slider-response,0.0,11,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,3.0,3.0,50.0,50.0,0.0,50.0,50.0
192,instructions,,11,s,Hatecoffee,,,,,,106.0,106.0,50.0,50.0,,,
193,html-slider-response,100.0,11,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,4.0,4.0,50.0,50.0,100.0,50.0,50.0
194,instructions,,11,s,END,,,,,,107.0,107.0,50.0,50.0,,,
195,instructions,,12,s,BEGIN,,,,,,108.0,108.0,50.0,50.0,,,
196,instructions,,12,s,Walktofront,,,,,,109.0,109.0,50.0,50.0,,,
197,html-slider-response,100.0,12,q,,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,False,50.0,3.0,1.0,75.0,25.0,50.0,25.0,75.0
198,instructions,,12,s,Stepinfront,,,,,,110.0,110.0,50.0,50.0,,,
199,html-slider-response,100.0,12,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0
200,instructions,,12,s,Ignore,,,,,,111.0,111.0,50.0,50.0,,,
201,html-slider-response,0.0,12,q,,Default,IgnoreTurntobarista,IgnoreXstare,True,33.0,0.0,1.0,0.0,100.0,33.0,0.0,100.0
202,instructions,,12,s,Turntobarista,,,,,,112.0,112.0,50.0,50.0,,,
203,html-slider-response,100.0,12,q,,Default,TurntobaristaDessertcrumble,TurntobaristaCreamsplash,True,50.0,1.0,2.0,33.33333333333333,66.66666666666666,50.0,33.33333333333333,66.66666666666666
204,instructions,,12,s,Dessertcrumble,,,,,,113.0,113.0,50.0,50.0,,,
205,html-slider-response,0.0,12,q,,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,5.0,2.0,71.42857142857143,28.57142857142857,10.0,28.57142857142857,71.42857142857143
206,instructions,,12,s,Baristaorders,,,,,,114.0,114.0,50.0,50.0,,,
207,html-slider-response,0.0,12,q,,Default,BaristaordersLovejuice,BaristaordersHatecoffee,False,70.0,6.0,1.0,85.71428571428571,14.285714285714285,30.0,14.285714285714292,85.71428571428572
208,instructions,,12,s,Lovejuice,,,,,,115.0,115.0,50.0,50.0,,,
209,html-slider-response,100.0,12,q,,Alter,LovejuiceEND,LovejuiceEND,True,100.0,6.0,6.0,50.0,50.0,100.0,50.0,50.0
210,instructions,,12,s,END,,,,,,116.0,116.0,50.0,50.0,,,
211,instructions,,13,s,BEGIN,,,,,,117.0,117.0,50.0,50.0,,,
