trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
0,instructions,,0,s,BEGIN,,,,,,0.0,0.0,0.0,0.0,,,
1,html-slider-response,0.0,0,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
2,instructions,,0,s,Walktoback,,,,,,1.0,1.0,50.0,50.0,,,
3,instructions,,0,s,Stepinfront,,,,,,2.0,2.0,50.0,50.0,,,
4,html-slider-response,0.0,0,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
5,instructions,,0,s,Ignore,,,,,,3.0,3.0,50.0,50.0,,,
6,html-slider-response,0.0,0,q,,Default,IgnoreXstare,IgnoreTurntobarista,False,66.0,0.0,0.0,0.0,0.0,34.0,100.0,100.0
7,instructions,,0,s,Xstare,,,,,,4.0,4.0,50.0,50.0,,,
8,html-slider-response,100.0,0,q,,Default,XstareDessertcrumble,XstareCreamsplash,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0
9,instructions,,0,s,Dessertcrumble,,,,,,5.0,5.0,50.0,50.0,,,
10,html-slider-response,0.0,0,q,,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
11,instructions,,0,s,Callpoliceman,,,,,,6.0,6.0,50.0,50.0,,,
12,html-slider-response,0.0,0,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
13,instructions,,0,s,Hatecoffee,,,,,,7.0,7.0,50.0,50.0,,,
14,html-slider-response,100.0,0,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
15,instructions,,0,s,END,,,,,,8.0,8.0,50.0,50.0,,,
16,instructions,,1,s,BEGIN,,,,,,9.0,9.0,50.0,50.0,,,
17,html-slider-response,100.0,1,q,,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,0.0,1.0,0.0,100.0,40.0,0.0,100.0
