trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
0,instructions,,0,s,BEGIN,,,,,,0.0,0.0,0.0,0.0,,,
1,html-slider-response,100.0,0,q,,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0
2,instructions,,0,s,Walktoback,,,,,,1.0,1.0,50.0,50.0,,,
3,html-slider-response,100.0,0,q,,Default,WalktobackStepinfront,WalktobackSayexcuseme,False,40.0,0.0,0.0,0.0,0.0,60.0,100.0,100.0
4,instructions,,0,s,Stepinfront,,,,,,2.0,2.0,50.0,50.0,,,
5,html-slider-response,0.0,0,q,,Default,StepinfrontIgnore,StepinfrontSubjectstares,True,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
6,instructions,,0,s,Ignore,,,,,,3.0,3.0,50.0,50.0,,,
7,instructions,,0,s,Xstare,,,,,,4.0,4.0,50.0,50.0,,,
8,html-slider-response,0.0,0,q,,Default,XstareDessertcrumble,XstareCreamsplash,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0
9,instructions,,0,s,Dessertcrumble,,,,,,5.0,5.0,50.0,50.0,,,
10,html-slider-response,100.0,0,q,,Default,DessertcrumbleCallpoliceman,DessertcrumbleBaristaorders,False,10.0,0.0,0.0,0.0,0.0,90.0,100.0,100.0
11,instructions,,0,s,Callpoliceman,,,,,,6.0,6.0,50.0,50.0,,,
12,html-slider-response,100.0,0,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13,instructions,,0,s,Hatecoffee,,,,,,7.0,7.0,50.0,50.0,,,
14,html-slider-response,100.0,0,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
15,instructions,,0,s,END,,,,,,8.0,8.0,50.0,50.0,,,
16,instructions,,1,s,BEGIN,,,,,,9.0,9.0,50.0,50.0,,,
17,html-slider-response,0.0,1,q,,Default,BEGINWalktofront,BEGINWalktoback,False,40.0,0.0,1.0,0.0,100.0,60.0,100.0,0.0
18,instructions,,1,s,Walktofront,,,,,,10.0,10.0,50.0,50.0,,,
19,html-slider-response,0.0,1,q,,Permute,WalktofrontStepinfront,WalktofrontStepinfront,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
20,instructions,,1,s,Stepinfront,,,,,,11.0,11.0,50.0,50.0,,,
21,instructions,,1,s,Ignore,,,,,,12.0,12.0,50.0,50.0,,,
22,html-slider-response,0.0,1,q,,Default,IgnoreXstare,IgnoreTurntobarista,False,66.0,0.0,0.0,0.0,0.0,34.0,100.0,100.0
23,instructions,,1,s,Xstare,,,,,,13.0,13.0,50.0,50.0,,,
24,instructions,,1,s,Dessertcrumble,,,,,,14.0,14.0,50.0,50.0,,,
25,html-slider-response,0.0,1,q,,Default,DessertcrumbleCallpoliceman,DessertcrumbleBaristaorders,True,10.0,1.0,0.0,100.0,0.0,10.0,100.0,0.0
26,instructions,,1,s,Callpoliceman,,,,,,15.0,15.0,50.0,50.0,,,
27,html-slider-response,1.0,1,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0
28,instructions,,1,s,Hatecoffee,,,,,,16.0,16.0,50.0,50.0,,,
29,html-slider-response,0.0,1,q,,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0
30,instructions,,1,s,END,,,,,,17.0,17.0,50.0,50.0,,,
31,instructions,,2,s,BEGIN,,,,,,18.0,18.0,50.0,50.0,,,
32,html-slider-response,0.0,2,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,1.0,1.0,50.0,50.0,60.0,50.0,50.0
33,instructions,,2,s,Walktoback,,,,,,19.0,19.0,50.0,50.0,,,
34,html-slider-response,100.0,2,q,,Permute,WalktobackStepinfront,WalktobackStepinfront,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
35,instructions,,2,s,Stepinfront,,,,,,20.0,20.0,50.0,50.0,,,
36,html-slider-response,100.0,2,q,,Default,StepinfrontSubjectstares,StepinfrontIgnore,True,55.0,0.0,1.0,0.0,100.0,55.0,0.0,100.0
37,instructions,,2,s,Subjectstares,,,,,,21.0,21.0,50.0,50.0,,,
38,html-slider-response,0.0,2,q,,Alter,SubjectstaresTurntobarista,SubjectstaresTurntobarista,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
39,instructions,,2,s,Turntobarista,,,,,,22.0,22.0,50.0,50.0,,,
40,instructions,,2,s,Dessertcrumble,,,,,,23.0,23.0,50.0,50.0,,,
41,html-slider-response,0.0,2,q,,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,0.0,2.0,0.0,100.0,10.0,100.0,0.0
