"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":4825}]","4825","instructions","0","4826","0.0-0.0",""
"","3033","html-slider-response","1","8116","0.0-1.0","100"
"[{""page_index"":0,""viewing_time"":3631}]","3632","instructions","2","12000","0.0-2.0",""
"","2413","html-slider-response","3","14668","0.0-3.0","100"
"[{""page_index"":0,""viewing_time"":5172}]","5172","instructions","4","20095","0.0-4.0",""
"","2852","html-slider-response","5","23199","0.0-5.0","0"
"[{""page_index"":0,""viewing_time"":17338}]","17339","instructions","6","40791","0.0-6.0",""
"[{""page_index"":0,""viewing_time"":11467}]","11467","instructions","7","52510","0.0-7.0",""
"","2637","html-slider-response","8","55402","0.0-8.0","0"
"[{""page_index"":0,""viewing_time"":2021}]","2021","instructions","9","57678","0.0-9.0",""
"","2749","html-slider-response","10","60682","0.0-10.0","100"
"[{""page_index"":0,""viewing_time"":10918}]","10918","instructions","11","71855","0.0-11.0",""
"","3908","html-slider-response","12","76018","0.0-12.0","100"
"[{""page_index"":0,""viewing_time"":877}]","877","instructions","13","77150","0.0-13.0",""
"","2997","html-slider-response","14","80402","0.0-14.0","100"
"[{""page_index"":0,""viewing_time"":1383}]","1383","instructions","15","82037","0.0-15.0",""
"[{""page_index"":0,""viewing_time"":2602}]","2602","instructions","16","84893","0.0-16.0",""
"","3578","html-slider-response","17","88725","0.0-17.0","0"
"[{""page_index"":0,""viewing_time"":2412}]","2412","instructions","18","91389","0.0-18.0",""
"","3968","html-slider-response","19","95609","0.0-19.0","0"
"[{""page_index"":0,""viewing_time"":1062}]","1062","instructions","20","96925","0.0-20.0",""
"[{""page_index"":0,""viewing_time"":9723}]","9723","instructions","21","106901","0.0-21.0",""
"","3718","html-slider-response","22","110874","0.0-22.0","0"
"[{""page_index"":0,""viewing_time"":1060}]","1060","instructions","23","112188","0.0-23.0",""
"[{""page_index"":0,""viewing_time"":35409}]","35409","instructions","24","147851","0.0-24.0",""
"","2687","html-slider-response","25","150792","0.0-25.0","0"
"[{""page_index"":0,""viewing_time"":3163}]","3163","instructions","26","154207","0.0-26.0",""
"","3221","html-slider-response","27","157683","0.0-27.0","1"
"[{""page_index"":0,""viewing_time"":857}]","857","instructions","28","158795","0.0-28.0",""
"","2845","html-slider-response","29","161895","0.0-29.0","0"
"[{""page_index"":0,""viewing_time"":1206}]","1206","instructions","30","163355","0.0-30.0",""
"[{""page_index"":0,""viewing_time"":2019}]","2019","instructions","31","165627","0.0-31.0",""
"","3462","html-slider-response","32","169343","0.0-32.0","0"
"[{""page_index"":0,""viewing_time"":4085}]","4085","instructions","33","173683","0.0-33.0",""
"","2877","html-slider-response","34","176815","0.0-34.0","100"
"[{""page_index"":0,""viewing_time"":1878}]","1878","instructions","35","178946","0.0-35.0",""
"","5125","html-slider-response","36","184327","0.0-36.0","100"
"[{""page_index"":0,""viewing_time"":2205}]","2205","instructions","37","186786","0.0-37.0",""
"","6631","html-slider-response","38","193670","0.0-38.0","0"
"[{""page_index"":0,""viewing_time"":2536}]","2536","instructions","39","196458","0.0-39.0",""
"[{""page_index"":0,""viewing_time"":6563}]","6563","instructions","40","203274","0.0-40.0",""
"","2015","html-slider-response","41","205542","0.0-41.0","0"
"[{""page_index"":0,""viewing_time"":2926}]","2926","instructions","42","208722","0.0-42.0",""
"","3292","html-slider-response","43","212270","0.0-43.0","100"
"[{""page_index"":0,""viewing_time"":5752}]","5752","instructions","44","218273","0.0-44.0",""
"","2913","html-slider-response","45","221441","0.0-45.0","0"
"[{""page_index"":0,""viewing_time"":1052}]","1052","instructions","46","222745","0.0-46.0",""
"[{""page_index"":0,""viewing_time"":1546}]","1546","instructions","47","224545","0.0-47.0",""
"","2694","html-slider-response","48","227493","0.0-48.0","0"
"[{""page_index"":0,""viewing_time"":3359}]","3359","instructions","49","231105","0.0-49.0",""
"","3192","html-slider-response","50","234549","0.0-50.0","0"
"[{""page_index"":0,""viewing_time"":1165}]","1165","instructions","51","235969","0.0-51.0",""
"","3739","html-slider-response","52","239961","0.0-52.0","0"
"[{""page_index"":0,""viewing_time"":692}]","692","instructions","53","240905","0.0-53.0",""
"","2768","html-slider-response","54","243932","0.0-54.0","0"
"[{""page_index"":0,""viewing_time"":567}]","567","instructions","55","244753","0.0-55.0",""
"","4045","html-slider-response","56","249053","0.0-56.0","100"
"[{""page_index"":0,""viewing_time"":3030}]","3030","instructions","57","252338","0.0-57.0",""
"","2451","html-slider-response","58","255044","0.0-58.0","0"
"[{""page_index"":0,""viewing_time"":1575}]","1575","instructions","59","256872","0.0-59.0",""
"[{""page_index"":0,""viewing_time"":2875}]","2875","instructions","60","260000","0.0-60.0",""
"","2672","html-slider-response","61","262926","0.0-61.0","0"
"[{""page_index"":0,""viewing_time"":1509}]","1509","instructions","62","264688","0.0-62.0",""
"[{""page_index"":0,""viewing_time"":1667}]","1667","instructions","63","266610","0.0-63.0",""
"","3622","html-slider-response","64","270488","0.0-64.0","100"
"[{""page_index"":0,""viewing_time"":2273}]","2273","instructions","65","273016","0.0-65.0",""
"","2882","html-slider-response","66","276152","0.0-66.0","0"
"[{""page_index"":0,""viewing_time"":4125}]","4125","instructions","67","280531","0.0-67.0",""
"","2854","html-slider-response","68","283640","0.0-68.0","100"
"[{""page_index"":0,""viewing_time"":538}]","538","instructions","69","284431","0.0-69.0",""
"","5717","html-slider-response","70","290403","0.0-70.0","100"
"[{""page_index"":0,""viewing_time"":4159}]","4159","instructions","71","294816","0.0-71.0",""
"","2421","html-slider-response","72","297491","0.0-72.0","0"
"[{""page_index"":0,""viewing_time"":855}]","855","instructions","73","298599","0.0-73.0",""
"","2792","html-slider-response","74","301645","0.0-74.0","100"
"[{""page_index"":0,""viewing_time"":4780}]","4780","instructions","75","306679","0.0-75.0",""
"","3424","html-slider-response","76","310359","0.0-76.0","100"
"[{""page_index"":0,""viewing_time"":1264}]","1264","instructions","77","311879","0.0-77.0",""
"[{""page_index"":0,""viewing_time"":1426}]","1426","instructions","78","313559","0.0-78.0",""
"[{""page_index"":0,""viewing_time"":1499}]","1499","instructions","79","315311","0.0-79.0",""
"","3110","html-slider-response","80","318675","0.0-80.0","0"
"[{""page_index"":0,""viewing_time"":2272}]","2272","instructions","81","321200","0.0-81.0",""
"","2615","html-slider-response","82","324066","0.0-82.0","0"
"[{""page_index"":0,""viewing_time"":4032}]","4032","instructions","83","328352","0.0-83.0",""
"[{""page_index"":0,""viewing_time"":5804}]","5804","instructions","84","334409","0.0-84.0",""
"[{""page_index"":0,""viewing_time"":7496}]","7496","instructions","85","342158","0.0-85.0",""
"","3925","html-slider-response","86","346334","0.0-86.0","0"
"[{""page_index"":0,""viewing_time"":2187}]","2187","instructions","87","348773","0.0-87.0",""
"","2938","html-slider-response","88","351966","0.0-88.0","0"
"[{""page_index"":0,""viewing_time"":492}]","492","instructions","89","352717","0.0-89.0",""
"","4331","html-slider-response","90","357301","0.0-90.0","100"
"[{""page_index"":0,""viewing_time"":9866}]","9866","instructions","91","367421","0.0-91.0",""
"","3497","html-slider-response","92","371169","0.0-92.0","100"
"[{""page_index"":0,""viewing_time"":1174}]","1174","instructions","93","372597","0.0-93.0",""
"[{""page_index"":0,""viewing_time"":2570}]","2570","instructions","94","375421","0.0-94.0",""
"","3403","html-slider-response","95","379078","0.0-95.0","0"
"[{""page_index"":0,""viewing_time"":5793}]","5793","instructions","96","385124","0.0-96.0",""
"","2648","html-slider-response","97","388025","0.0-97.0","100"
"[{""page_index"":0,""viewing_time"":3174}]","3174","instructions","98","391452","0.0-98.0",""
"","4165","html-slider-response","99","395869","0.0-99.0","0"
"[{""page_index"":0,""viewing_time"":2978}]","2978","instructions","100","399100","0.0-100.0",""
"","3770","html-slider-response","101","403124","0.0-101.0","0"
"[{""page_index"":0,""viewing_time"":501}]","501","instructions","102","403876","0.0-102.0",""
"","2878","html-slider-response","103","407012","0.0-103.0","100"
"[{""page_index"":0,""viewing_time"":11200}]","11200","instructions","104","418467","0.0-104.0",""
"","2261","html-slider-response","105","420984","0.0-105.0","0"
