"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":3397}]","3397","instructions","106","424635","0.0-106.0",""
"","2922","html-slider-response","107","427811","0.0-107.0","100"
"[{""page_index"":0,""viewing_time"":4065}]","4065","instructions","108","432131","0.0-108.0",""
"","3319","html-slider-response","109","435703","0.0-109.0","100"
"[{""page_index"":0,""viewing_time"":4303}]","4303","instructions","110","440259","0.0-110.0",""
"[{""page_index"":0,""viewing_time"":20794}]","20794","instructions","111","461306","0.0-111.0",""
"","2659","html-slider-response","112","464218","0.0-112.0","100"
"[{""page_index"":0,""viewing_time"":3433}]","3433","instructions","113","467906","0.0-113.0",""
"","2947","html-slider-response","114","471106","0.0-114.0","100"
"[{""page_index"":0,""viewing_time"":3674}]","3674","instructions","115","475034","0.0-115.0",""
"","2697","html-slider-response","116","477986","0.0-116.0","100"
"[{""page_index"":0,""viewing_time"":4993}]","4993","instructions","117","483233","0.0-117.0",""
"","3197","html-slider-response","118","486686","0.0-118.0","100"
"[{""page_index"":0,""viewing_time"":478}]","478","instructions","119","487417","0.0-119.0",""
"","2454","html-slider-response","120","490125","0.0-120.0","100"
"[{""page_index"":0,""viewing_time"":11223}]","11223","instructions","121","501602","0.0-121.0",""
"","2449","html-slider-response","122","504305","0.0-122.0","100"
"[{""page_index"":0,""viewing_time"":3907}]","3907","instructions","123","508467","0.0-123.0",""
"","2758","html-slider-response","124","511481","0.0-124.0","100"
"[{""page_index"":0,""viewing_time"":1611}]","1611","instructions","125","513345","0.0-125.0",""
"","2295","html-slider-response","126","515893","0.0-126.0","100"
"[{""page_index"":0,""viewing_time"":874}]","874","instructions","127","517019","0.0-127.0",""
"[{""page_index"":0,""viewing_time"":6990}]","6990","instructions","128","524264","0.0-128.0",""
"[{""page_index"":0,""viewing_time"":12988}]","12988","instructions","129","537507","0.0-129.0",""
"","3026","html-slider-response","130","540788","0.0-130.0","0"
"[{""page_index"":0,""viewing_time"":877}]","877","instructions","131","541920","0.0-131.0",""
"","2453","html-slider-response","132","544628","0.0-132.0","100"
"[{""page_index"":0,""viewing_time"":5661}]","5661","instructions","133","550543","0.0-133.0",""
"","2718","html-slider-response","134","553516","0.0-134.0","0"
"[{""page_index"":0,""viewing_time"":609}]","609","instructions","135","554375","0.0-135.0",""
"","3064","html-slider-response","136","557695","0.0-136.0","0"
"[{""page_index"":0,""viewing_time"":1633}]","1633","instructions","137","559583","0.0-137.0",""
"","3981","html-slider-response","138","563819","0.0-138.0","100"
"[{""page_index"":0,""viewing_time"":2166}]","2166","instructions","139","566239","0.0-139.0",""
"","3042","html-slider-response","140","569535","0.0-140.0","0"
"[{""page_index"":0,""viewing_time"":714}]","714","instructions","141","570503","0.0-141.0",""
"","4670","html-slider-response","142","575426","0.0-142.0","100"
"[{""page_index"":0,""viewing_time"":959}]","959","instructions","143","576639","0.0-143.0",""
"[{""page_index"":0,""viewing_time"":1849}]","1850","instructions","144","578743","0.0-144.0",""
"","4696","html-slider-response","145","583691","0.0-145.0","100"
"[{""page_index"":0,""viewing_time"":2885}]","2885","instructions","146","586830","0.0-146.0",""
"","2537","html-slider-response","147","589622","0.0-147.0","100"
"[{""page_index"":0,""viewing_time"":452}]","452","instructions","148","590326","0.0-148.0",""
"","3311","html-slider-response","149","593890","0.0-149.0","0"
"[{""page_index"":0,""viewing_time"":6264}]","6264","instructions","150","600406","0.0-150.0",""
"","3666","html-slider-response","151","604326","0.0-151.0","100"
"[{""page_index"":0,""viewing_time"":3059}]","3059","instructions","152","607640","0.0-152.0",""
"","2429","html-slider-response","153","610322","0.0-153.0","0"
"[{""page_index"":0,""viewing_time"":2333}]","2333","instructions","154","612910","0.0-154.0",""
"","3196","html-slider-response","155","616357","0.0-155.0","99"
"[{""page_index"":0,""viewing_time"":2731}]","2731","instructions","156","619343","0.0-156.0",""
"","3091","html-slider-response","157","622686","0.0-157.0","0"
"[{""page_index"":0,""viewing_time"":776}]","776","instructions","158","623717","0.0-158.0",""
"","2525","html-slider-response","159","626497","0.0-159.0","0"
"[{""page_index"":0,""viewing_time"":558}]","558","instructions","160","627309","0.0-160.0",""
"[{""page_index"":0,""viewing_time"":1305}]","1305","instructions","161","628869","0.0-161.0",""
"[{""page_index"":0,""viewing_time"":7283}]","7283","instructions","162","636405","0.0-162.0",""
"","3482","html-slider-response","163","640141","0.0-163.0","100"
"[{""page_index"":0,""viewing_time"":844}]","844","instructions","164","641237","0.0-164.0",""
"","4299","html-slider-response","165","645789","0.0-165.0","100"
"[{""page_index"":0,""viewing_time"":3105}]","3106","instructions","166","649149","0.0-166.0",""
"","3421","html-slider-response","167","652822","0.0-167.0","99"
"[{""page_index"":0,""viewing_time"":5554}]","5554","instructions","168","658628","0.0-168.0",""
"","2240","html-slider-response","169","661120","0.0-169.0","0"
"[{""page_index"":0,""viewing_time"":1638}]","1638","instructions","170","663012","0.0-170.0",""
"","2464","html-slider-response","171","665730","0.0-171.0","100"
"[{""page_index"":0,""viewing_time"":614}]","614","instructions","172","666596","0.0-172.0",""
"","4106","html-slider-response","173","670956","0.0-173.0","100"
"[{""page_index"":0,""viewing_time"":561}]","561","instructions","174","671772","0.0-174.0",""
"[{""page_index"":0,""viewing_time"":937}]","937","instructions","175","672964","0.0-175.0",""
"[{""page_index"":0,""viewing_time"":4331}]","4331","instructions","176","677548","0.0-176.0",""
"","5425","html-slider-response","177","683228","0.0-177.0","0"
"[{""page_index"":0,""viewing_time"":3413}]","3413","instructions","178","686891","0.0-178.0",""
"","2597","html-slider-response","179","689744","0.0-179.0","0"
"[{""page_index"":0,""viewing_time"":2925}]","2925","instructions","180","692923","0.0-180.0",""
"[{""page_index"":0,""viewing_time"":2113}]","2113","instructions","181","695291","0.0-181.0",""
"","5387","html-slider-response","182","700931","0.0-182.0","100"
"[{""page_index"":0,""viewing_time"":2229}]","2229","instructions","183","703411","0.0-183.0",""
"","2513","html-slider-response","184","706175","0.0-184.0","0"
"[{""page_index"":0,""viewing_time"":8710}]","8710","instructions","185","715139","0.0-185.0",""
"","2760","html-slider-response","186","718151","0.0-186.0","0"
"[{""page_index"":0,""viewing_time"":1824}]","1824","instructions","187","720226","0.0-187.0",""
"","3542","html-slider-response","188","724022","0.0-188.0","0"
"[{""page_index"":0,""viewing_time"":2542}]","2542","instructions","189","726818","0.0-189.0",""
"","4005","html-slider-response","190","731078","0.0-190.0","0"
"[{""page_index"":0,""viewing_time"":973}]","973","instructions","191","732306","0.0-191.0",""
"[{""page_index"":0,""viewing_time"":1396}]","1396","instructions","192","733954","0.0-192.0",""
"","3475","html-slider-response","193","737682","0.0-193.0","100"
"[{""page_index"":0,""viewing_time"":2683}]","2683","instructions","194","740618","0.0-194.0",""
"","2427","html-slider-response","195","743301","0.0-195.0","0"
"[{""page_index"":0,""viewing_time"":6344}]","6345","instructions","196","749898","0.0-196.0",""
"","2541","html-slider-response","197","752694","0.0-197.0","0"
"[{""page_index"":0,""viewing_time"":6031}]","6031","instructions","198","758977","0.0-198.0",""
"","5457","html-slider-response","199","764689","0.0-199.0","0"
"[{""page_index"":0,""viewing_time"":2548}]","2548","instructions","200","767489","0.0-200.0",""
"","2311","html-slider-response","201","770056","0.0-201.0","0"
"[{""page_index"":0,""viewing_time"":3556}]","3556","instructions","202","773865","0.0-202.0",""
"","4114","html-slider-response","203","778233","0.0-203.0","0"
"[{""page_index"":0,""viewing_time"":731}]","731","instructions","204","779217","0.0-204.0",""
"","5066","html-slider-response","205","784537","0.0-205.0","0"
"[{""page_index"":0,""viewing_time"":555}]","555","instructions","206","785344","0.0-206.0",""
"","2913","html-slider-response","207","788513","0.0-207.0","100"
"[{""page_index"":0,""viewing_time"":720}]","720","instructions","208","789488","0.0-208.0",""
"[{""page_index"":0,""viewing_time"":1185}]","1185","instructions","209","790928","0.0-209.0",""
"","3327","html-slider-response","210","794510","0.0-210.0","0"
"[{""page_index"":0,""viewing_time"":8727}]","8727","instructions","211","803490","0.0-211.0",""
"","3594","html-slider-response","212","807336","0.0-212.0","100"
"[{""page_index"":0,""viewing_time"":549}]","549","instructions","213","808138","0.0-213.0",""
"","2864","html-slider-response","214","811252","0.0-214.0","0"
"[{""page_index"":0,""viewing_time"":6040}]","6040","instructions","215","817547","0.0-215.0",""
"","3288","html-slider-response","216","821088","0.0-216.0","100"
"[{""page_index"":0,""viewing_time"":9948}]","9948","instructions","217","831290","0.0-217.0",""
"","2413","html-slider-response","218","833955","0.0-218.0","0"
"[{""page_index"":0,""viewing_time"":5305}]","5305","instructions","219","839512","0.0-219.0",""
"","2781","html-slider-response","220","842547","0.0-220.0","100"
"[{""page_index"":0,""viewing_time"":1985}]","1985","instructions","221","844786","0.0-221.0",""
"","4124","html-slider-response","222","849167","0.0-222.0","0"
"[{""page_index"":0,""viewing_time"":1113}]","1114","instructions","223","850535","0.0-223.0",""
"","2531","html-slider-response","224","853319","0.0-224.0","100"
"[{""page_index"":0,""viewing_time"":945}]","945","instructions","225","854518","0.0-225.0",""
"[{""page_index"":0,""viewing_time"":1442}]","1442","instructions","226","856214","0.0-226.0",""
"","5672","html-slider-response","227","862142","0.0-227.0","100"
"[{""page_index"":0,""viewing_time"":3107}]","3107","instructions","228","865502","0.0-228.0",""
"","2673","html-slider-response","229","868430","0.0-229.0","0"
"[{""page_index"":0,""viewing_time"":6202}]","6202","instructions","230","874886","0.0-230.0",""
"","2915","html-slider-response","231","878055","0.0-231.0","100"
"[{""page_index"":0,""viewing_time"":601}]","601","instructions","232","878910","0.0-232.0",""
"","2778","html-slider-response","233","881942","0.0-233.0","100"
"[{""page_index"":0,""viewing_time"":7930}]","7930","instructions","234","890125","0.0-234.0",""
"","2298","html-slider-response","235","892678","0.0-235.0","0"
"[{""page_index"":0,""viewing_time"":2516}]","2516","instructions","236","895445","0.0-236.0",""
"","4667","html-slider-response","237","900365","0.0-237.0","0"
"[{""page_index"":0,""viewing_time"":3634}]","3634","instructions","238","904253","0.0-238.0",""
"","3260","html-slider-response","239","907769","0.0-239.0","100"
"[{""page_index"":0,""viewing_time"":504}]","504","instructions","240","908525","0.0-240.0",""
"","3238","html-slider-response","241","912017","0.0-241.0","100"
"[{""page_index"":0,""viewing_time"":521}]","521","instructions","242","912792","0.0-242.0",""
