"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":5589}]","5589","instructions","0","5591","0.0-0.0",""
"","13546","html-slider-response","1","19395","0.0-1.0","0"
"[{""page_index"":0,""viewing_time"":1374}]","1374","instructions","2","21021","0.0-2.0",""
"","29563","html-slider-response","3","50840","0.0-3.0","0"
"[{""page_index"":0,""viewing_time"":1167}]","1168","instructions","4","52260","0.0-4.0",""
"","5525","html-slider-response","5","58040","0.0-5.0","0"
"[{""page_index"":0,""viewing_time"":463}]","463","instructions","6","58755","0.0-6.0",""
"[{""page_index"":0,""viewing_time"":7562}]","7562","instructions","7","66571","0.0-7.0",""
"","16623","html-slider-response","8","83451","0.0-8.0","100"
"[{""page_index"":0,""viewing_time"":947}]","947","instructions","9","84651","0.0-9.0",""
"","9456","html-slider-response","10","94363","0.0-10.0","0"
"[{""page_index"":0,""viewing_time"":555}]","555","instructions","11","95172","0.0-11.0",""
"","9204","html-slider-response","12","104630","0.0-12.0","100"
"[{""page_index"":0,""viewing_time"":832}]","832","instructions","13","105714","0.0-13.0",""
"","10569","html-slider-response","14","116538","0.0-14.0","1"
"[{""page_index"":0,""viewing_time"":2433}]","2433","instructions","15","119225","0.0-15.0",""
"[{""page_index"":0,""viewing_time"":23530}]","23530","instructions","16","143009","0.0-16.0",""
"","8157","html-slider-response","17","151421","0.0-17.0","0"
"[{""page_index"":0,""viewing_time"":997}]","997","instructions","18","152673","0.0-18.0",""
"","5929","html-slider-response","19","158857","0.0-19.0","0"
"[{""page_index"":0,""viewing_time"":685}]","685","instructions","20","159793","0.0-20.0",""
"","7576","html-slider-response","21","167624","0.0-21.0","0"
"[{""page_index"":0,""viewing_time"":1115}]","1115","instructions","22","168992","0.0-22.0",""
"","13854","html-slider-response","23","183100","0.0-23.0","0"
"[{""page_index"":0,""viewing_time"":943}]","943","instructions","24","184296","0.0-24.0",""
"","4131","html-slider-response","25","188680","0.0-25.0","100"
"[{""page_index"":0,""viewing_time"":738}]","738","instructions","26","189671","0.0-26.0",""
"","6557","html-slider-response","27","196484","0.0-27.0","100"
"[{""page_index"":0,""viewing_time"":654}]","654","instructions","28","197391","0.0-28.0",""
"","4494","html-slider-response","29","202140","0.0-29.0","0"
"[{""page_index"":0,""viewing_time"":663}]","663","instructions","30","203055","0.0-30.0",""
"","3525","html-slider-response","31","206835","0.0-31.0","100"
