"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":4870}]","4870","instructions","0","4870","0.0-0.0",""
"","6483","html-slider-response","1","11610","0.0-1.0","100"
"[{""page_index"":0,""viewing_time"":6540}]","6540","instructions","2","18404","0.0-2.0",""
"","3681","html-slider-response","3","22340","0.0-3.0","100"
"[{""page_index"":0,""viewing_time"":8746}]","8746","instructions","4","31340","0.0-4.0",""
"","4965","html-slider-response","5","36560","0.0-5.0","100"
"[{""page_index"":0,""viewing_time"":4662}]","4662","instructions","6","41475","0.0-6.0",""
"","4215","html-slider-response","7","45945","0.0-7.0","0"
"[{""page_index"":0,""viewing_time"":4019}]","4019","instructions","8","50219","0.0-8.0",""
"","3257","html-slider-response","9","53731","0.0-9.0","100"
"[{""page_index"":0,""viewing_time"":7601}]","7601","instructions","10","61587","0.0-10.0",""
"","3226","html-slider-response","11","65068","0.0-11.0","100"
"[{""page_index"":0,""viewing_time"":3704}]","3704","instructions","12","69027","0.0-12.0",""
"","5592","html-slider-response","13","74875","0.0-13.0","0"
"[{""page_index"":0,""viewing_time"":649}]","649","instructions","14","75778","0.0-14.0",""
"","3010","html-slider-response","15","79043","0.0-15.0","0"
"[{""page_index"":0,""viewing_time"":659}]","659","instructions","16","79956","0.0-16.0",""
"[{""page_index"":0,""viewing_time"":2543}]","2543","instructions","17","82754","0.0-17.0",""
"","6386","html-slider-response","18","89394","0.0-18.0","0"
"[{""page_index"":0,""viewing_time"":4082}]","4082","instructions","19","93730","0.0-19.0",""
"","3940","html-slider-response","20","97923","0.0-20.0","100"
"[{""page_index"":0,""viewing_time"":7920}]","7920","instructions","21","106098","0.0-21.0",""
"","2866","html-slider-response","22","109218","0.0-22.0","100"
"[{""page_index"":0,""viewing_time"":4650}]","4650","instructions","23","114121","0.0-23.0",""
"[{""page_index"":0,""viewing_time"":6994}]","6994","instructions","24","121369","0.0-24.0",""
"","3029","html-slider-response","25","124653","0.0-25.0","0"
"[{""page_index"":0,""viewing_time"":1221}]","1221","instructions","26","126129","0.0-26.0",""
"","4113","html-slider-response","27","130497","0.0-27.0","100"
