"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"","7708","html-slider-response","84","502282","0.0-84.0","0"
"[{""page_index"":0,""viewing_time"":694}]","694","instructions","85","503230","0.0-85.0",""
"","5954","html-slider-response","86","509438","0.0-86.0","100"
"[{""page_index"":0,""viewing_time"":586}]","586","instructions","87","510278","0.0-87.0",""
"","19685","html-slider-response","88","530213","0.0-88.0","0"
"[{""page_index"":0,""viewing_time"":661}]","661","instructions","89","531125","0.0-89.0",""
"","5677","html-slider-response","90","537053","0.0-90.0","100"
"[{""page_index"":0,""viewing_time"":1290}]","1290","instructions","91","538597","0.0-91.0",""
"[{""page_index"":0,""viewing_time"":1885}]","1885","instructions","92","540733","0.0-92.0",""
"","4890","html-slider-response","93","545877","0.0-93.0","0"
"[{""page_index"":0,""viewing_time"":868}]","868","instructions","94","546997","0.0-94.0",""
"","7943","html-slider-response","95","555193","0.0-95.0","0"
"[{""page_index"":0,""viewing_time"":801}]","801","instructions","96","556244","0.0-96.0",""
"[{""page_index"":0,""viewing_time"":4385}]","4385","instructions","97","560884","0.0-97.0",""
"","4830","html-slider-response","98","565968","0.0-98.0","0"
"[{""page_index"":0,""viewing_time"":2990}]","2990","instructions","99","569212","0.0-99.0",""
"","4282","html-slider-response","100","573748","0.0-100.0","100"
"[{""page_index"":0,""viewing_time"":726}]","726","instructions","101","574724","0.0-101.0",""
"","8696","html-slider-response","102","583676","0.0-102.0","0"
"[{""page_index"":0,""viewing_time"":562}]","563","instructions","103","584492","0.0-103.0",""
"","19056","html-slider-response","104","603803","0.0-104.0","100"
"[{""page_index"":0,""viewing_time"":594}]","594","instructions","105","604651","0.0-105.0",""
"","5038","html-slider-response","106","609943","0.0-106.0","0"
"[{""page_index"":0,""viewing_time"":1518}]","1518","instructions","107","611715","0.0-107.0",""
"","7278","html-slider-response","108","619246","0.0-108.0","0"
"[{""page_index"":0,""viewing_time"":805}]","805","instructions","109","620306","0.0-109.0",""
"[{""page_index"":0,""viewing_time"":2485}]","2485","instructions","110","623042","0.0-110.0",""
"","4789","html-slider-response","111","628086","0.0-111.0","100"
"[{""page_index"":0,""viewing_time"":1022}]","1022","instructions","112","629362","0.0-112.0",""
"[{""page_index"":0,""viewing_time"":3041}]","3041","instructions","113","632658","0.0-113.0",""
"","8577","html-slider-response","114","641490","0.0-114.0","0"
"[{""page_index"":0,""viewing_time"":2350}]","2350","instructions","115","644090","0.0-115.0",""
"","4880","html-slider-response","116","649222","0.0-116.0","0"
"[{""page_index"":0,""viewing_time"":822}]","822","instructions","117","650298","0.0-117.0",""
"","6225","html-slider-response","118","656778","0.0-118.0","0"
"[{""page_index"":0,""viewing_time"":565}]","565","instructions","119","657593","0.0-119.0",""
"","15890","html-slider-response","120","673737","0.0-120.0","100"
"[{""page_index"":0,""viewing_time"":803}]","803","instructions","121","674793","0.0-121.0",""
"","4602","html-slider-response","122","679645","0.0-122.0","0"
"[{""page_index"":0,""viewing_time"":906}]","906","instructions","123","680801","0.0-123.0",""
"","6340","html-slider-response","124","687397","0.0-124.0","0"
"[{""page_index"":0,""viewing_time"":615}]","615","instructions","125","688264","0.0-125.0",""
"","4752","html-slider-response","126","693272","0.0-126.0","100"
"[{""page_index"":0,""viewing_time"":897}]","897","instructions","127","694424","0.0-127.0",""
"[{""page_index"":0,""viewing_time"":2610}]","2610","instructions","128","697288","0.0-128.0",""
"[{""page_index"":0,""viewing_time"":1934}]","1934","instructions","129","699472","0.0-129.0",""
"","16188","html-slider-response","130","715916","0.0-130.0","0"
"[{""page_index"":0,""viewing_time"":2254}]","2254","instructions","131","718423","0.0-131.0",""
"[{""page_index"":0,""viewing_time"":2554}]","2554","instructions","132","721231","0.0-132.0",""
"","6441","html-slider-response","133","727927","0.0-133.0","100"
"[{""page_index"":0,""viewing_time"":640}]","640","instructions","134","728823","0.0-134.0",""
"","7594","html-slider-response","135","736671","0.0-135.0","100"
"[{""page_index"":0,""viewing_time"":1300}]","1300","instructions","136","738223","0.0-136.0",""
"","5948","html-slider-response","137","744423","0.0-137.0","100"
"[{""page_index"":0,""viewing_time"":897}]","897","instructions","138","745575","0.0-138.0",""
"","6459","html-slider-response","139","752287","0.0-139.0","100"
"[{""page_index"":0,""viewing_time"":625}]","625","instructions","140","753167","0.0-140.0",""
"","6573","html-slider-response","141","759994","0.0-141.0","100"
"[{""page_index"":0,""viewing_time"":812}]","812","instructions","142","761062","0.0-142.0",""
"","5964","html-slider-response","143","767282","0.0-143.0","100"
"[{""page_index"":0,""viewing_time"":1329}]","1329","instructions","144","768862","0.0-144.0",""
"[{""page_index"":0,""viewing_time"":1521}]","1521","instructions","145","770638","0.0-145.0",""
"[{""page_index"":0,""viewing_time"":1729}]","1729","instructions","146","772622","0.0-146.0",""
"","5313","html-slider-response","147","778186","0.0-147.0","100"
"[{""page_index"":0,""viewing_time"":631}]","631","instructions","148","779070","0.0-148.0",""
"","9096","html-slider-response","149","788418","0.0-149.0","100"
"[{""page_index"":0,""viewing_time"":526}]","527","instructions","150","789198","0.0-150.0",""
"","5060","html-slider-response","151","794510","0.0-151.0","0"
"[{""page_index"":0,""viewing_time"":611}]","611","instructions","152","795373","0.0-152.0",""
