"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"[{""page_index"":0,""viewing_time"":10957}]","10958","instructions","0","10959","0.0-0.0",""
"","4984","html-slider-response","1","16199","0.0-1.0","0"
"[{""page_index"":0,""viewing_time"":9081}]","9081","instructions","2","25533","0.0-2.0",""
"[{""page_index"":0,""viewing_time"":15074}]","15074","instructions","3","40861","0.0-3.0",""
"","3229","html-slider-response","4","44345","0.0-4.0","0"
"[{""page_index"":0,""viewing_time"":6141}]","6141","instructions","5","50741","0.0-5.0",""
"","5501","html-slider-response","6","56496","0.0-6.0","0"
"[{""page_index"":0,""viewing_time"":7109}]","7109","instructions","7","63860","0.0-7.0",""
"","3162","html-slider-response","8","67276","0.0-8.0","100"
"[{""page_index"":0,""viewing_time"":6714}]","6714","instructions","9","74244","0.0-9.0",""
"","3728","html-slider-response","10","78228","0.0-10.0","0"
"[{""page_index"":0,""viewing_time"":25537}]","25537","instructions","11","104020","0.0-11.0",""
"","2781","html-slider-response","12","107055","0.0-12.0","0"
"[{""page_index"":0,""viewing_time"":1924}]","1925","instructions","13","109235","0.0-13.0",""
"","2946","html-slider-response","14","112435","0.0-14.0","100"
"[{""page_index"":0,""viewing_time"":3865}]","3865","instructions","15","116554","0.0-15.0",""
"[{""page_index"":0,""viewing_time"":38408}]","38408","instructions","16","155217","0.0-16.0",""
"","4145","html-slider-response","17","159617","0.0-17.0","100"
"[{""page_index"":0,""viewing_time"":6602}]","6602","instructions","18","166473","0.0-18.0",""
"","3008","html-slider-response","19","169737","0.0-19.0","0"
"[{""page_index"":0,""viewing_time"":6306}]","6306","instructions","20","176296","0.0-20.0",""
"","7400","html-slider-response","21","183953","0.0-21.0","0"
"[{""page_index"":0,""viewing_time"":7017}]","7017","instructions","22","191224","0.0-22.0",""
"","3529","html-slider-response","23","195008","0.0-23.0","0"
"[{""page_index"":0,""viewing_time"":10785}]","10785","instructions","24","206048","0.0-24.0",""
"","2913","html-slider-response","25","209216","0.0-25.0","0"
"[{""page_index"":0,""viewing_time"":4548}]","4548","instructions","26","214015","0.0-26.0",""
"","2693","html-slider-response","27","216964","0.0-27.0","0"
"[{""page_index"":0,""viewing_time"":5644}]","5644","instructions","28","222863","0.0-28.0",""
"","2613","html-slider-response","29","225731","0.0-29.0","0"
"[{""page_index"":0,""viewing_time"":6229}]","6229","instructions","30","232215","0.0-30.0",""
"","6097","html-slider-response","31","238567","0.0-31.0","100"
"[{""page_index"":0,""viewing_time"":1962}]","1962","instructions","32","240783","0.0-32.0",""
"[{""page_index"":0,""viewing_time"":16584}]","16584","instructions","33","257622","0.0-33.0",""
"","8141","html-slider-response","34","266018","0.0-34.0","0"
"[{""page_index"":0,""viewing_time"":18196}]","18196","instructions","35","284469","0.0-35.0",""
"","4510","html-slider-response","36","289233","0.0-36.0","0"
"[{""page_index"":0,""viewing_time"":21428}]","21428","instructions","37","310917","0.0-37.0",""
"","3497","html-slider-response","38","314669","0.0-38.0","100"
"[{""page_index"":0,""viewing_time"":8882}]","8882","instructions","39","323804","0.0-39.0",""
"","12384","html-slider-response","40","336444","0.0-40.0","100"
"[{""page_index"":0,""viewing_time"":5098}]","5098","instructions","41","341796","0.0-41.0",""
"","3073","html-slider-response","42","345124","0.0-42.0","100"
"[{""page_index"":0,""viewing_time"":1280}]","1281","instructions","43","346660","0.0-43.0",""
"","6976","html-slider-response","44","353887","0.0-44.0","100"
"[{""page_index"":0,""viewing_time"":968}]","968","instructions","45","355107","0.0-45.0",""
"","5653","html-slider-response","46","361015","0.0-46.0","0"
"[{""page_index"":0,""viewing_time"":2373}]","2373","instructions","47","363643","0.0-47.0",""
"","2830","html-slider-response","48","366727","0.0-48.0","100"
"[{""page_index"":0,""viewing_time"":1534}]","1534","instructions","49","368515","0.0-49.0",""
"[{""page_index"":0,""viewing_time"":40417}]","40417","instructions","50","409186","0.0-50.0",""
"","3325","html-slider-response","51","412766","0.0-51.0","100"
"[{""page_index"":0,""viewing_time"":9493}]","9493","instructions","52","422513","0.0-52.0",""
"","3746","html-slider-response","53","426513","0.0-53.0","100"
"[{""page_index"":0,""viewing_time"":17760}]","17761","instructions","54","444529","0.0-54.0",""
"","13693","html-slider-response","55","458476","0.0-55.0","100"
"[{""page_index"":0,""viewing_time"":10790}]","10790","instructions","56","469520","0.0-56.0",""
"","3660","html-slider-response","57","473436","0.0-57.0","0"
"[{""page_index"":0,""viewing_time"":10701}]","10701","instructions","58","484391","0.0-58.0",""
"","2494","html-slider-response","59","487139","0.0-59.0","100"
"[{""page_index"":0,""viewing_time"":8788}]","8788","instructions","60","496183","0.0-60.0",""
"","7725","html-slider-response","61","504163","0.0-61.0","100"
"[{""page_index"":0,""viewing_time"":25317}]","25317","instructions","62","529734","0.0-62.0",""
"","8157","html-slider-response","63","538146","0.0-63.0","100"
"[{""page_index"":0,""viewing_time"":3133}]","3134","instructions","64","541534","0.0-64.0",""
"","3093","html-slider-response","65","544882","0.0-65.0","100"
"[{""page_index"":0,""viewing_time"":1636}]","1637","instructions","66","546774","0.0-66.0",""
"[{""page_index"":0,""viewing_time"":4130}]","4130","instructions","67","551157","0.0-67.0",""
"","3093","html-slider-response","68","554501","0.0-68.0","100"
"[{""page_index"":0,""viewing_time"":7793}]","7793","instructions","69","562549","0.0-69.0",""
"","9127","html-slider-response","70","571933","0.0-70.0","100"
"[{""page_index"":0,""viewing_time"":1202}]","1202","instructions","71","573389","0.0-71.0",""
"","19837","html-slider-response","72","593480","0.0-72.0","100"
"[{""page_index"":0,""viewing_time"":3046}]","3046","instructions","73","596780","0.0-73.0",""
"","4793","html-slider-response","74","601828","0.0-74.0","0"
"[{""page_index"":0,""viewing_time"":8577}]","8578","instructions","75","610660","0.0-75.0",""
"","3889","html-slider-response","76","614804","0.0-76.0","100"
"[{""page_index"":0,""viewing_time"":6267}]","6267","instructions","77","621323","0.0-77.0",""
"","3197","html-slider-response","78","624775","0.0-78.0","0"
"[{""page_index"":0,""viewing_time"":4764}]","4764","instructions","79","629795","0.0-79.0",""
"","3102","html-slider-response","80","633151","0.0-80.0","100"
"[{""page_index"":0,""viewing_time"":1197}]","1197","instructions","81","634603","0.0-81.0",""
"","2989","html-slider-response","82","637847","0.0-82.0","100"
"[{""page_index"":0,""viewing_time"":2991}]","2991","instructions","83","641091","0.0-83.0",""
